ActiveLoans,Address,Gstin,Id,JoinDate,LoyaltyPoints,Name,Phone,TotalPurchases
3,"Hazratganj, Bangalore",252VWH5X6PB5,C00001,2022-02-03,3409,Rajesh Verma,9815625778,3409889
0,"Sector 17, Mumbai",,C00002,2022-12-13,4318,Ashok Das,9252450560,4318677
3,"T Nagar, Jaipur",,C00003,2020-01-04,1960,Sanjay Gupta,9869466023,1960456
2,"Navrangpura, Nagpur",,C00004,2025-07-17,4678,Amit Singh,9592034528,4678642
3,"Rajwada, Ahmedabad",,C00005,2025-05-10,287,Ravi Desai,9375231230,287245
0,"Sector 17, Kolkata",23RSO7TWH134,C00006,2024-12-30,4882,Swati Gupta,9918402985,4882678
2,"Ring Road, Mumbai",,C00007,2023-09-24,3377,Sanjay Trivedi,9292598753,3377649
2,"Ring Road, Nagpur",,C00008,2025-07-02,2555,Deepak Modi,9837291131,2555531
0,"Charminar, Jaipur",,C00009,2020-08-22,2924,Amit Jain,9454930601,2924531
2,"Rajwada, Kolkata",17XIB99BV7TZ,C00010,2024-05-07,964,Arun Desai,9375117492,964090
3,"Karol Bagh, Chandigarh",,C00011,2023-06-24,3716,Anjali Modi,9934721160,3716382
3,"Karol Bagh, Surat",,C00012,2020-01-23,824,Swati Das,9967617567,824645
0,"Karol Bagh, Chennai",,C00013,2023-05-10,1113,Swati Reddy,9930430009,1113442
1,"New Market, Delhi",,C00014,2022-09-01,2887,Lata Gupta,9478655311,2887895
0,"Hazratganj, Lucknow",,C00015,2020-06-27,1682,Deepak Agarwal,9881893523,1682049
3,"Rajwada, Varanasi",,C00016,2022-10-12,2496,Ravi Desai,9374701004,2496565
0,"T Nagar, Jaipur",12H2JEHZWQ1X,C00017,2020-11-01,539,Deepak Chopra,9688188185,539735
2,"Ring Road, Pune",,C00018,2023-10-05,3463,Rekha Pillai,9783271762,3463034
1,"New Market, Jaipur",,C00019,2024-12-15,4347,Vikram Chopra,9736882027,4347811
1,"Sector 17, Hyderabad",,C00020,2022-08-03,4177,Gaurav Kumar,9685884578,4177857
0,"Rajwada, Pune",,C00021,2021-11-11,725,Deepak Bose,9345021870,725863
0,"T Nagar, Hyderabad",,C00022,2024-09-17,340,Manoj Desai,9738575003,340000
1,"Rajwada, Ahmedabad",,C00023,2023-02-04,2569,Rajesh Patel,9843828782,2569257
0,"Commercial St, Hyderabad",,C00024,2021-08-16,302,Amit Kumar,9377838524,302142
1,"Sector 17, Mumbai",,C00025,2025-09-19,2195,Vikram Singh,9274986596,2195494
3,"Ring Road, Varanasi",,C00026,2022-06-27,3090,Sita Das,9100435151,3090728
0,"T Nagar, Delhi",,C00027,2023-03-28,2653,Manoj Bose,9503020961,2653036
1,"MG Road, Hyderabad",,C00028,2023-01-14,3054,Rajesh Singh,9518132727,3054456
1,"Hazratganj, Hyderabad",34EM7OXXI3OJ,C00029,2024-04-29,1236,Priya Patel,9397863608,1236615
3,"New Market, Nagpur",,C00030,2020-10-25,1718,Ravi Chopra,9923568032,1718042
1,"Johari Bazaar, Chandigarh",16NOLV7H9E3S,C00031,2022-04-07,396,Rohit Iyer,9359805085,396563
2,"Charminar, Varanasi",,C00032,2024-07-03,3388,Anita Sharma,9742042769,3388579
3,"Rajwada, Ahmedabad",,C00033,2022-01-13,2217,Arun Sharma,9951928920,2217482
1,"Rajwada, Nagpur",,C00034,2025-09-23,528,Deepak Trivedi,9219888392,528451
3,"Commercial St, Pune",,C00035,2025-01-22,4289,Rajesh Chopra,9698542885,4289938
0,"Navrangpura, Delhi",35K5CJA14M0Q,C00036,2024-03-24,2336,Rohit Kumar,9976013299,2336448
2,"MG Road, Ahmedabad",,C00037,2022-06-04,1374,Sita Agarwal,9522860763,1374101
3,"Bandra West, Indore",,C00038,2025-10-24,1137,Neha Bose,9634753162,1137568
0,"Hazratganj, Delhi",,C00039,2023-11-17,2378,Sanjay Mehta,9767715093,2378217
0,"Godowlia, Jaipur",,C00040,2024-05-03,3515,Rohit Desai,9648763272,3515034
0,"Ring Road, Hyderabad",,C00041,2023-03-21,4752,Pooja Iyer,9226495786,4752103
2,"Hazratganj, Delhi",,C00042,2021-11-22,3716,Vikram Agarwal,9785815946,3716295
