CustomerName,CustomerPhone,DueDate,GovId,Id,InterestRate,MetalType,PrincipalAmount,ProductDescription,Purity,StartDate,Status,TotalRepaid,Weight
Kavita Bose,9198725300,2025-09-08,Y7Q6FI4ZTK,L-00001,1.79,GOLD,124229,Gold Necklace Set,22K,2024-01-11,ACTIVE,28661,5.74
Priya Shah,9912853161,2025-01-24,4UHSX9YS0Z,L-00002,0.85,GOLD,51313,Gold Earrings,22K,2024-10-04,ACTIVE,22970,11.13
Manoj Mehta,9775357614,2025-01-20,BP0ZOY57BS,L-00003,1.96,GOLD,438001,Gold Necklace Set,22K,2025-06-04,ACTIVE,76330,10.1
Amit Modi,9147140578,2025-04-12,OGFLS48Y3W,L-00004,0.87,GOLD,471159,Gold Ring,22K,2023-08-21,ACTIVE,145083,29.97
Neha Desai,9649818850,2025-04-30,QVFDRYXR7S,L-00005,0.84,GOLD,239430,Gold Bracelet,22K,2024-12-01,CLOSED,63421,7
Sanjay Shah,9764282237,2026-01-13,94RGREP77G,L-00006,1.04,GOLD,468735,Gold Bracelet,22K,2024-03-28,ACTIVE,225659,27.14
Swati Modi,9276374325,2025-04-02,4FTOYC5X0T,L-00007,0.58,GOLD,12048,Gold Earrings,22K,2025-11-17,OVERDUE,2841,19.59
Sunita Nair,9959176986,2026-08-04,2YX90EAK6Q,L-00008,2.07,GOLD,343723,Gold Bangles (4 pcs),22K,2024-11-10,ACTIVE,17410,5.4
Meena Trivedi,9321887932,2025-09-18,X41235L4UW,L-00009,1.72,GOLD,408708,Gold Chain (Man),22K,2025-08-29,CLOSED,110042,5.91
Suresh Gupta,9687858396,2026-12-14,P0CTRG4UJH,L-00010,2.06,GOLD,34840,Gold Chain (Man),22K,2024-06-10,ACTIVE,1113,10.01
Gaurav Jain,9767740958,2026-03-08,1OFS5FDXMR,L-00011,1.62,GOLD,111456,Gold Earrings,22K,2025-02-10,OVERDUE,36177,21.27
Suresh Nair,9860608765,2025-02-02,ODHDR448L2,L-00012,0.94,GOLD,140036,Gold Necklace Set,22K,2024-05-07,OVERDUE,11574,9.55
Rajesh Bose,9850654345,2025-09-08,QRI4QR8CJ5,L-00013,2.41,GOLD,58512,Gold Ring,22K,2025-02-15,OVERDUE,8407,27.92
Rajesh Kumar,9239061677,2026-02-22,A95BBFNUIQ,L-00014,1.70,GOLD,357763,Gold Bangles (4 pcs),22K,2024-07-22,OVERDUE,168055,5.88
Arun Sharma,9196672270,2026-11-24,3MX9C2HCPQ,L-00015,1.87,GOLD,364358,Gold Ring,22K,2024-10-10,ACTIVE,69307,17.73
Ashok Patel,9649049084,2026-12-02,LM0HT3NBU6,L-00016,0.84,GOLD,451243,Gold Chain (Man),22K,2025-12-22,ACTIVE,154685,29.35
Swati Pillai,9699610386,2026-08-07,DV7DAQY7BR,L-00017,1.08,GOLD,237332,Gold Necklace Set,22K,2025-08-22,ACTIVE,75706,21.77
Manoj Gupta,9471202740,2025-01-09,I7U0NBUKTX,L-00018,0.54,GOLD,417722,Gold Bracelet,22K,2025-11-06,ACTIVE,197709,3.29
Arun Patel,9130976655,2026-01-02,IDMY61MVH0,L-00019,1.71,GOLD,291379,Gold Bracelet,22K,2023-06-04,CLOSED,72891,25.36
Sunita Pillai,9153493010,2025-10-26,VWMH48TJM4,L-00020,1.01,GOLD,275233,Gold Ring,22K,2023-09-25,ACTIVE,104477,19.33
Sita Agarwal,9709995449,2025-09-08,2FPPZAVFL8,L-00021,0.61,GOLD,186217,Gold Necklace Set,22K,2023-09-21,ACTIVE,31538,8.82
Suresh Reddy,9303493116,2025-09-19,ESLB869DE9,L-00022,0.97,GOLD,78770,Gold Bracelet,22K,2023-07-30,OVERDUE,2202,10.33
Anjali Chopra,9735527247,2025-05-06,8CZK4D83PC,L-00023,1.66,GOLD,128481,Gold Bangles (4 pcs),22K,2024-05-28,ACTIVE,50346,17.03
Manoj Gupta,9471026121,2025-12-07,AEIFJ279NP,L-00024,0.70,GOLD,257549,Gold Necklace Set,22K,2025-11-27,CLOSED,106063,23.85
Nitin Bose,9741211412,2025-05-25,RHC8V3V5LC,L-00025,1.86,GOLD,184013,Gold Ring,22K,2025-03-24,OVERDUE,64774,13.56
Meena Gupta,9723305767,2025-10-12,CZFVVXM2EZ,L-00026,2.39,GOLD,28710,Gold Chain (Man),22K,2025-07-15,ACTIVE,8836,12.1
Vikram Gupta,9568700054,2025-02-26,R32RDXK1HS,L-00027,1.07,GOLD,181203,Gold Bangles (4 pcs),22K,2024-02-27,CLOSED,43045,6.57
Ravi Das,9244785574,2026-07-06,QR9AQAGC3Y,L-00028,1.42,GOLD,374019,Gold Bracelet,22K,2023-06-24,ACTIVE,1993,5.3
Pooja Iyer,9197072415,2026-10-26,N46IJ1P6E1,L-00029,0.93,GOLD,88079,Gold Ring,22K,2025-07-07,OVERDUE,40939,9.34
Lata Sharma,9503638709,2026-06-17,GWLC3O3IAS,L-00030,1.69,GOLD,466206,Gold Bracelet,22K,2024-01-05,OVERDUE,177782,29.2
Sita Das,9913943638,2026-11-01,J3QBSEUQTD,L-00031,1.88,GOLD,353153,Gold Bracelet,22K,2025-03-25,ACTIVE,39880,31.18
Sita Mehta,9374048659,2026-02-19,O8SLBT8B5F,L-00032,1.99,GOLD,142878,Gold Necklace Set,22K,2023-12-11,ACTIVE,2412,15.53
Ashok Modi,9148473463,2026-04-28,3XLJ9FBL6C,L-00033,1.39,GOLD,57779,Gold Chain (Man),22K,2025-01-12,CLOSED,14594,24.48
Swati Singh,9934783763,2025-12-02,PG8O9JWPG5,L-00034,1.15,GOLD,34025,Gold Necklace Set,22K,2023-01-12,CLOSED,13475,13.34
Sunita Agarwal,9512849482,2025-07-12,VU97T7WOR5,L-00035,1.18,GOLD,276931,Gold Bangles (4 pcs),22K,2024-06-19,ACTIVE,47309,21.84
Ashok Kumar,9529554549,2025-04-18,8J9BFUOIMU,L-00036,1.25,GOLD,380594,Gold Bracelet,22K,2024-10-10,ACTIVE,168136,8.11
Amit Patel,9914562835,2026-07-12,RI0O1UGSWY,L-00037,0.90,GOLD,311811,Gold Earrings,22K,2023-02-03,OVERDUE,150166,26.64
Sunita Bose,9229950179,2025-05-18,8F40DXAHEB,L-00038,0.72,GOLD,435570,Gold Ring,22K,2023-03-26,CLOSED,115747,24.06
Sunita Verma,9467729400,2026-11-23,HGTJ85KLCP,L-00039,0.75,GOLD,191430,Gold Bracelet,22K,2024-02-19,ACTIVE,92912,21.3
Anjali Kumar,9918407735,2025-04-03,5E3KKTSBRW,L-00040,0.58,GOLD,472366,Gold Ring,22K,2025-11-20,CLOSED,63818,31.33
Kavita Sharma,9664563415,2025-07-28,68U4Q36WI7,L-00041,0.61,GOLD,29206,Gold Necklace Set,22K,2024-04-02,ACTIVE,13843,29.02
Vikram Patel,9136988000,2026-06-04,9V86Q5VAAC,L-00042,1.17,GOLD,477796,Gold Necklace Set,22K,2024-10-06,ACTIVE,98125,22.91
Pooja Trivedi,9747697685,2025-04-15,JQLT4WF4GX,L-00043,1.23,GOLD,180562,Gold Ring,22K,2024-01-10,ACTIVE,78290,20.98
Ashok Chopra,9171883184,2026-05-21,YXIO04JOD4,L-00044,2.39,GOLD,89560,Gold Earrings,22K,2025-12-13,ACTIVE,5895,4.48
Kavita Iyer,9705628514,2026-02-04,EPKSUTCFF5,L-00045,2.49,GOLD,480023,Gold Chain (Man),22K,2024-01-23,ACTIVE,107169,18.56
Kavita Sharma,9234875201,2025-12-19,8HV6A6I9K3,L-00046,0.62,GOLD,451445,Gold Earrings,22K,2024-04-29,OVERDUE,125782,13.95
Sanjay Chopra,9940010284,2025-03-05,6DHG5TNAD9,L-00047,2.35,GOLD,284529,Gold Bracelet,22K,2025-06-27,CLOSED,94695,14.61
Swati Singh,9912104427,2025-05-08,MG64J201WK,L-00048,0.54,GOLD,197511,Gold Bangles (4 pcs),22K,2025-03-08,ACTIVE,98116,11.82
Suresh Gupta,9865626405,2026-05-08,USNXXN6AAO,L-00049,2.27,GOLD,301304,Gold Bracelet,22K,2023-10-08,ACTIVE,10313,31.49
Sita Nair,9599187403,2025-06-11,HVZQZ8IE5S,L-00050,1.54,GOLD,14416,Gold Necklace Set,22K,2023-07-17,ACTIVE,6941,10.97
Neha Mehta,9840878887,2025-08-05,1QM3BNKQHV,L-00051,1.36,GOLD,486899,Gold Necklace Set,22K,2023-07-21,OVERDUE,127844,17.36
Swati Iyer,9256681114,2026-06-13,9TDIDZHJW5,L-00052,0.51,GOLD,237633,Gold Chain (Man),22K,2023-09-06,OVERDUE,77448,14.16
Meena Verma,9805869011,2025-01-07,OQE7M4ZTX4,L-00053,1.82,GOLD,225001,Gold Bracelet,22K,2024-01-19,ACTIVE,100823,20.71
Nitin Bose,9741211412,2026-10-18,OB62FFERJ6,L-00054,2.45,GOLD,204689,Gold Bangles (4 pcs),22K,2023-07-18,OVERDUE,60292,20.03
Meena Chopra,9256277707,2026-11-23,LDEEVH1B27,L-00055,1.96,GOLD,442252,Gold Bangles (4 pcs),22K,2023-10-15,CLOSED,1356,18.31
Rohit Bose,9912092816,2026-12-13,JJ8RUOSKB5,L-00056,2.12,GOLD,162915,Gold Necklace Set,22K,2023-07-01,OVERDUE,37483,15.23
Gaurav Gupta,9323239276,2026-02-28,WTDGXBMU0Y,L-00057,1.08,GOLD,41377,Gold Chain (Man),22K,2024-11-12,ACTIVE,20655,10.95
Swati Reddy,9299814636,2026-01-10,OQFWRW2EKV,L-00058,0.69,GOLD,452025,Gold Bangles (4 pcs),22K,2025-07-26,CLOSED,208942,5.98
Sanjay Reddy,9846486042,2025-02-21,QYJYOC8OD2,L-00059,1.26,GOLD,261407,Gold Chain (Man),22K,2023-08-13,CLOSED,98248,21.14
Suresh Gupta,9880961216,2025-01-08,B5GH7FQ8DT,L-00060,0.89,GOLD,216224,Gold Chain (Man),22K,2023-08-15,CLOSED,88630,18.55
Rajesh Nair,9441643183,2026-10-19,EZNM0A3A0P,L-00061,0.67,GOLD,198581,Gold Bangles (4 pcs),22K,2025-11-19,OVERDUE,27297,8.33
Neha Iyer,9205533306,2025-04-13,S5DXCF0ZNK,L-00062,1.72,GOLD,65287,Gold Necklace Set,22K,2025-08-14,ACTIVE,32249,31.45
Anita Singh,9191434017,2026-02-24,K7SRPYCBQS,L-00063,0.54,GOLD,417242,Gold Chain (Man),22K,2025-06-18,ACTIVE,187375,14.58
Rohit Agarwal,9190647261,2025-02-12,USMQ5CXA3N,L-00064,0.75,GOLD,315606,Gold Necklace Set,22K,2023-03-18,CLOSED,44947,19.94
Rekha Reddy,9105353808,2026-11-09,9YPRUOSGBS,L-00065,0.69,GOLD,265904,Gold Bracelet,22K,2023-10-12,ACTIVE,130024,5.15
Gaurav Shah,9857183058,2026-12-03,UVZ182FUGO,L-00066,0.84,GOLD,267702,Gold Bangles (4 pcs),22K,2024-02-23,CLOSED,95848,24.45
Anjali Pillai,9965702705,2025-10-25,TGOQIPHTGY,L-00067,0.85,GOLD,275069,Gold Ring,22K,2023-01-30,CLOSED,79852,10.85
Anita Trivedi,9737768077,2025-04-27,AWUPTE3YWY,L-00068,0.76,GOLD,183622,Gold Earrings,22K,2025-12-02,ACTIVE,8013,18.4
